ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
72.474042 -69.754556 27.1006309 0.0007566 -99.99 -99.99 13.351 -99.99 11.71 11.463 11.401 0.02 0.023 0.021 AAA 2451903.6553
72.437667 -68.88 2.3754308 4e-06 0.416 6000.60196 16.738 15.946 15.226 14.823 14.819 0.021 0.026 0.045 AAA 2451903.6588
72.488083 -69.127222 9.7736415 5.92e-05 0.448 6008.06189 15.039 14.142 13.342 13.009 12.931 0.019 0.023 0.023 AAA 2451903.6579
72.489958 -67.693778 2.4202552 2.2e-06 0.455 6000.04698 16.413 15.722 15.207 14.823 14.749 0.025 0.030 0.047 AAA 2451903.6636
71.37225 -69.147056 16.6802833 0.000537 0.127 6011.32641 14.137 13.178 14.889 14.488 14.411 0.022 0.027 0.034 AAA 2451921.6026
71.778667 -69.294306 5.1048248 0.0002257 0.044 6004.34538 15.976 15.082 12.245 11.946 11.866 0.022 0.022 0.023 AAA 2451921.6307
72.268292 -69.111889 23.6813233 0.0002243 0.712 6001.12842 14.15 13.141 12.213 11.91 11.824 0.019 0.021 0.020 AAA 2451903.6267
70.793667 -67.233583 3.5229124 5e-06 0.636 6001.73458 15.641 15.037 14.504 14.188 14.094 0.022 0.03 0.035 AAA 2451917.5858
70.793667 -67.233583 2.9106644 1.73e-05 0.179 6002.12866 16.253 15.53 14.504 14.188 14.094 0.022 0.03 0.035 AAA 2451917.5858
70.793667 -67.233583 4.0357552 7.5e-06 0.618 6003.70515 15.522 14.925 14.504 14.188 14.094 0.022 0.03 0.035 AAA 2451917.5858
70.793667 -67.233583 1.866928 2.7e-06 0.497 6001.52638 16.834 16.146 14.504 14.188 14.094 0.022 0.03 0.035 AAA 2451917.5858
70.793667 -67.233583 2.8620681 2.7e-06 0.558 6002.29255 16.098 15.452 14.504 14.188 14.094 0.022 0.03 0.035 AAA 2451917.5858
72.203708 -66.733917 4.7407405 1.21e-05 0.458 6003.00582 15.718 14.944 14.316 13.978 13.889 0.019 0.024 0.029 AAA 2451903.6172
72.203708 -66.733917 7.6992572 0.0001043 0.19 6003.44257 15.296 14.375 14.316 13.978 13.889 0.019 0.024 0.029 AAA 2451903.6172
71.128958 -65.593028 2.277279 2.6e-06 0.491 6000.02947 16.446 15.752 15.216 14.997 14.876 0.024 0.037 0.049 AAA 2451871.7955
72.208958 -65.944056 3.4250095 3.5e-06 0.617 6000.2727 15.805 15.149 15.551 15.217 15.018 0.024 0.031 0.058 AAA 2451903.614
72.208958 -65.944056 2.0577123 2.6e-06 0.459 6001.15382 16.498 15.854 15.551 15.217 15.018 0.024 0.031 0.058 AAA 2451903.614
72.610583 -70.557639 5.4639151 1.97e-05 0.371 6004.09438 15.532 14.727 14.202 13.767 13.714 0.019 0.022 0.026 AAA 2451903.6521
72.610583 -70.557639 3.1462898 4.4e-06 0.601 6002.86331 16.062 15.361 14.202 13.767 13.714 0.019 0.022 0.026 AAA 2451903.6521
72.842625 -70.592167 3.1455578 8e-06 0.365 6001.51097 16.23 15.473 14.907 14.506 14.427 0.02 0.024 0.039 AAA 2451903.6911
73.065375 -70.242028 3.7970782 1.14e-05 0.3 6001.24962 15.291 14.408 13.825 13.396 13.246 0.024 0.029 0.031 EEE 2451903.7118
73.287208 -70.137806 3.8194537 4.7e-06 0.626 6003.57699 15.79 15.115 14.537 14.166 14.091 0.022 0.025 0.032 AAA 2451903.7122
73.292792 -70.219139 2.7302183 7.89e-05 0.262 6002.53951 -99.99 15.66 15.09 14.74 14.635 0.022 0.026 0.04 AAA 2451903.7119
73.427917 -70.386361 3.4613222 8e-06 0.491 6002.9992 16.036 15.277 14.812 14.371 14.383 0.022 0.026 0.04 AAA 2451903.7487
73.526 -70.812444 34.4486189 0.002231 0.614 6030.97413 12.849 12.137 14.577 14.3 14.281 0.021 0.028 0.031 AAA 2451903.7504
73.526 -70.812444 3.9275402 1.05e-05 0.455 6001.33261 15.797 15.091 14.577 14.3 14.281 0.021 0.028 0.031 AAA 2451903.7504
73.427917 -70.386361 4.2960383 1.86e-05 0.248 6002.69946 15.483 14.684 14.812 14.371 14.383 0.022 0.026 0.04 AAA 2451903.7487
73.20975 -71.299389 5.5496704 1.6e-05 0.416 6000.57522 15.613 14.762 14.778 14.387 14.316 0.021 0.026 0.035 AAA 2451903.7075
73.526 -70.812444 2.8676494 1.5e-05 0.487 6002.53919 -99.99 15.555 14.577 14.3 14.281 0.021 0.028 0.031 AAA 2451903.7504
73.292792 -70.219139 12.6841678 5.15e-05 0.683 6002.75703 14.598 13.694 15.09 14.74 14.635 0.022 0.026 0.04 AAA 2451903.7119
74.139833 -70.155778 2.9203009 3.6e-06 0.494 6002.2404 16.238 15.512 14.738 14.457 14.45 0.024 0.029 0.04 AAA 2451908.6321
73.777625 -71.081639 3.0249176 4.9e-06 0.46 6002.01348 16.187 15.452 14.666 14.415 14.314 0.02 0.026 0.038 AAA 2451942.6918
73.777625 -71.081639 3.337976 5.7e-06 0.487 6001.487 16.115 15.34 14.666 14.415 14.314 0.02 0.026 0.038 AAA 2451942.6918
73.777625 -71.081639 4.2990472 1.29e-05 0.546 6001.88565 15.77 14.991 14.666 14.415 14.314 0.02 0.026 0.038 AAA 2451942.6918
74.0485 -70.935 4.0503199 9.4e-06 0.396 6001.4844 15.957 15.207 14.677 14.353 14.264 0.02 0.023 0.035 AAA 2451908.6352
74.092167 -70.381472 2.8663217 4.4e-06 0.591 6001.55372 16.127 15.456 14.825 14.59 14.426 0.027 0.037 0.042 AAA 2451908.633
74.139833 -70.155778 3.2134335 4e-06 0.536 6002.19712 16.135 15.391 14.738 14.457 14.45 0.024 0.029 0.04 AAA 2451908.6321
