ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
7.05975 -73.865611 1.3845974 1.1e-06 0.681 6000.2717 17.547 16.934 16.361 16.268 16.183 0.053 0.119 0.167 ABC 2451904.5635
7.05975 -73.865611 1.0868823 2.3e-06 0.354 6000.46896 18.186 17.549 16.361 16.268 16.183 0.053 0.119 0.167 ABC 2451904.5635
7.005542 -74.081417 1.3126397 1.3e-06 0.449 6000.94721 17.821 17.183 16.861 16.996 16.718 0.076 0.221 0.287 ADD 2451904.5643
7.169083 -73.600083 1.7632717 3.3e-06 0.366 6000.92175 17.367 16.729 16.434 16.068 16.061 0.052 0.095 0.173 AAC 2451904.5624
7.324875 -74.329 1.8393365 2.7e-06 0.676 6000.22565 17.411 16.768 16.237 15.946 15.978 0.047 0.086 0.155 AAB 2451904.5653
7.454958 -74.091722 1.9968024 4.54e-05 0.52 6001.55896 17.273 16.589 15.542 15.226 15.368 0.031 0.053 0.099 AAA 2451867.5794
7.349 -73.950889 1.7066324 2.1e-06 0.553 6000.93285 17.564 16.924 16.332 16.093 16.013 0.051 0.098 0.133 AAB 2451867.5788
7.395708 -73.721278 1.8699798 1.5e-06 0.757 6000.776 17.211 16.586 16.469 16.075 15.896 0.051 0.097 0.124 AAB 2451867.5779
7.436458 -73.770778 1.1369253 2.2e-06 0.729 6000.36432 17.777 17.133 16.993 16.44 16.374 0.084 0.131 0.188 ABC 2451867.5781
7.441458 -73.95675 10.5656969 0.0001518 0.36 6009.11619 15.034 14.238 13.593 13.228 13.199 0.038 0.038 0.025 AAA 2451867.5788
7.454958 -74.091722 2.7119408 4.3e-06 0.797 6002.34255 16.607 16.006 15.542 15.226 15.368 0.031 0.053 0.099 AAA 2451867.5794
7.567583 -73.419861 1.6000006 1.3e-06 0.641 6000.67654 16.897 16.453 16.343 16.023 16.119 0.048 0.092 0.140 AAC 2451867.5767
7.684667 -73.469528 2.4424932 3.6e-06 0.507 6000.09958 16.994 16.315 15.689 15.401 15.457 0.036 0.059 0.087 AAA 2451867.5769
7.69425 -73.631472 6.6629545 2.4e-05 0.464 6001.94072 15.619 14.912 14.474 14.093 13.989 0.026 0.029 0.031 AAA 2451867.5775
7.684667 -73.469528 1.7030774 2.7e-06 0.551 6000.81976 17.632 16.969 15.689 15.401 15.457 0.036 0.059 0.087 AAA 2451867.5769
8.285625 -73.868 1.5537377 2.9e-06 0.335 6001.36631 17.476 16.833 15.095 14.787 14.718 0.024 0.036 0.050 AAA 2451901.5632
